state,abortion_sentiment,blm_sentiment,covid_sentiment,economy_sentiment,healthcare_sentiment,immigrant_sentiment,lgbtq_sentiment,Abbreviation
minnesota,-0.614381832009429,-0.605189558847354,-0.286243596067222,-0.514585125595833,-0.699072267165629,-0.481399881462436,-0.157629280503279,MN
mississippi,-0.270440011091952,-0.508386065562566,-0.368760112959605,-0.358069486187813,-0.678997135162354,-0.585268262096427,-0.129041330019633,MS
missouri,-0.687203986467896,-0.400887319871358,-0.529972692990204,-0.470763279423529,-0.402648424142159,-0.447054974103378,-0.100013450998552,MO
newhampshire,0.195197456412845,-0.679206678117423,-0.413477882718963,-0.611268704571919,-0.581503033948441,-0.684568373553724,-0.246991600157947,NH
newjersey,-0.626767675841556,-0.513014656926195,-0.597755939661127,-0.534239336798171,-0.372858259049844,-0.622533930737651,-0.379735153433,NJ
newyork,-0.766930192708969,-0.119959279684953,-0.741468355493638,-0.0097696072457172,-0.820471959860146,-0.597057599491543,-0.157041355967522,NY
northdakota,-0.907387875458773,-0.83995851448604,-0.503908283360626,-0.648913484021842,-0.07199149365936,-0.844518968898259,-0.459596574306488,ND
oklahoma,-0.371599869051976,-0.0739654624599149,-0.399802060622089,-0.526645273387015,-0.596706781091002,-0.334779045277542,-0.186947780286143,OK
oregon,-0.334831130690873,-0.857890353600184,-0.337434665200025,-0.433418204745661,-0.268053578740021,-0.604946759444746,-0.004994774254683,OR
southcarolina,-0.360289435128908,-0.80741585791111,-0.660884360744529,-0.589573250959317,-0.678684119455415,0.160513584635087,-0.705823814167696,SC
vermont,-0.322532755423741,-0.187932324470933,-0.43861833293187,-0.391321326044673,-0.759447066136348,-0.733078140020371,-0.319381315103719,VT
wisconsin,-0.619778998417079,-0.663093212733599,-0.638082099999609,-0.529667128463088,-0.544585671641079,-0.745739200040308,-0.149416453991025,WI
wyoming,-0.227269882957141,0.289475166797638,-0.722325742244721,-0.354405195230529,0.127395410748089,0.484739780426025,-0.172950962110411,WY
nevada,-0.324564322009,-0.879134595394135,-0.522870250286595,-0.621992849452155,0.0192887373268604,-0.749084532260895,0.32222369483539,NV
